Date,adj close,14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema50,ema20,ema15,ema5,norm_volume
2019-05-06,122.98616790771484,,0.0,0.0,,16126804.77694114,,,,,,,,,,122.98616790771484,122.98616790771484,122.98616790771484,122.98616790771484,1.0
2019-05-07,121.11650848388672,0.0,-0.04370840639583662,-0.024282447997687008,,17944373.90321923,,,,,-32964170.37037037,-66.66666666666666,,,,122.04208245607886,122.02853747111995,122.02118239864227,121.96635367653586,1.1367524666218625
2019-05-08,120.66559960927138,0.0,-0.07026302712768029,-0.04312694764112687,,17678281.52575692,,,,,-62841637.60296799,-68.57976311356813,,,,121.57413945718379,121.55188751309042,121.53986590200017,121.45176964992574,1.0181016382727033
2019-05-09,120.51866578037054,0.0,-0.08614622912510583,-0.057699874973098066,,31775319.101224847,,,,,-90975861.59042984,-89.49512848594532,,,,121.3023821455657,121.27438203277609,121.25934576933336,121.15139642217025,0.9716167841761164
2019-05-10,121.49137285059389,32.47867624599179,-0.05263247714073316,-0.056192438683127545,,49354082.76179163,,,,,-61024524.37543848,-22.835440213315998,,,,121.34169191466317,121.32211480452956,121.31192555570162,121.24613076988838,1.024558235858211
2019-05-13,119.46498588317634,18.788280439796466,-0.12178441707654031,-0.07397151167119372,,43275766.37105427,,,,,-93576457.98764695,-120.61540659023845,,,,121.0132208668342,120.97365114925412,120.95239266856431,120.79979701850837,1.0827186657746806
2019-05-14,119.6204367041052,21.52115476357004,-0.15669677829900763,-0.09490706974540035,,40239390.1641194,,,,,-65763235.07652001,-90.49777031362325,,,,120.80223870466493,120.7509251733214,120.72337636980335,120.5271447110088,0.9414036771130214
2019-05-15,120.7707081531409,34.61772808027396,-0.13500755718470714,-0.1045439709668992,,49160652.27815829,,,,,-39959304.52522735,-41.8949213349407,,,,120.79801887206187,120.75384027667057,120.7307118007668,120.58004048432042,0.898087840382255
2019-05-16,122.99521500386831,54.67716610723818,-0.008544879062270638,-0.0823677044829792,,65579092.34771046,,,,,-11354778.101522576,114.9337880024369,,,,121.06193107311722,121.05416331440883,121.05195402225247,121.0793364798659,0.9964751589458744
2019-05-17,123.2351639169671,56.076071754311926,0.0922358637584324,-0.04324636947367652,,56740099.43752381,,,,,15407580.32969769,147.55585116310672,,,,121.29912564836103,121.3231628915838,121.33889256523403,121.50784806625015,0.945017498903503
