Date,close,14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema50,ema20,ema15,ema5,norm_volume
2019-04-22,17.516666412353516,,0.0,0.0,,-168541265.90849486,,,,,,,,,,17.516666412353516,17.516666412353516,17.516666412353516,17.516666412353516,1.0
2019-04-23,17.57345595183196,100.0,0.0012741242831673105,0.0007078468239818392,,-112321613.36395249,,,,,168837611.1111111,-66.66666666666667,,,,17.545342318426787,17.545753737452234,17.545977142406905,17.547642524796306,0.9652586155644924
2019-04-24,17.349716413203243,19.073545833859882,-0.005314662471374021,-0.001760394690508267,,-176280874.62211907,,,,,5382078.853046566,-82.26228257207848,,,,17.478838203999075,17.477195085593547,17.476292334256925,17.469342085045206,0.9593518761511308
2019-04-25,16.794705659419034,6.032321792129636,-0.028219574840413486,-0.01072353159765773,,-358600619.28644466,,,,,-266485871.28305838,-133.33333333333334,,,,17.302691678330284,17.29389023434787,17.289062837902822,17.252171491997135,1.3389174955129295
2019-04-26,16.06370740783919,3.062388039277181,-0.06915977130174511,-0.028106991766650883,,-526526476.51755166,,,,,-579874553.5007247,-137.73153118695635,,,,17.044984900734296,17.023279539096723,17.011384360080648,16.921006268804554,1.3404350134090905
2019-04-29,16.086038365265164,4.607472784367161,-0.09151552293097964,-0.04529422915831775,,-487656568.7949252,,,,,-307297161.71685785,-110.47931746715085,,,,16.877144989723853,16.847419650452043,16.83125269575721,16.71177323029718,1.1193483973048939
2019-04-30,15.973274604841032,4.239962969874028,-0.10938454958028743,-0.06151377948295253,,-526113673.95426625,,,,,-494924442.5371227,-86.48971261211926,,,,16.740224615967083,16.70354385228241,16.683732077927026,16.541042240067302,0.8136693811879608
2019-05-01,15.731025110007762,3.5794254417659204,-0.1311288619147355,-0.07824359290322526,,-583028464.2615222,,,,,-664957928.9209435,-88.7409032870385,,,,16.605160280825515,16.56023922029037,16.536082534665102,16.365127159729003,0.781972390008243
2019-05-02,16.083552760481012,22.5006234934324,-0.12670102780180414,-0.08943750076337116,,-553140093.005755,,,,,-428387789.5578066,-57.14473171838105,,,,16.542508346030793,16.496367738238987,16.471886701447378,16.306916471907172,1.0685372022996786
2019-05-03,16.680560460573748,42.92664375360296,-0.09096520991914758,-0.08977979629765988,,-369104354.6035092,,,,,-114444806.41417426,-10.31258670099813,,,,16.557575858360728,16.51908564320822,16.499312623502405,16.381185300465056,1.3092322005707853
2019-05-06,16.90293181342651,48.38367248262545,-0.05201926756388886,-0.08151800837195813,,-268683809.6764391,,-0.6137345989270067,,,101064812.32025796,18.142398108621634,,,,16.592171702508292,16.563095943146813,16.548939400936735,16.481666632740936,0.9166125625587597
